symbol,publish,count
SNOW,"Aug 23, 2023",8
META,"Oct 25, 2023",6
ZM,"Aug 21, 2023",6
DASH,"Nov 01, 2023",5
APP,"Nov 08, 2023",4
MELI,"Nov 01, 2023",4
INTU,"Aug 24, 2023",4
GOOGL,"Oct 24, 2023",4
GOOG,"Oct 24, 2023",4
ZS,"Sep 05, 2023",3
CRWD,"Aug 30, 2023",3
SNAP,"Oct 24, 2023",3
U,"Nov 09, 2023",2
CRM,"Aug 30, 2023",2
AMZN,"Oct 26, 2023",2
